seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
0,Chorea associated with Huntington's disease,none,no_kg,llama3.3:70b,0,8,A,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-7's potential is considered but with limited confidence due to a lack of specific information linking it to Huntington's disease or chorea.,0.0,1.875
0,Chorea associated with Huntington's disease,none,no_kg,llama3.3:70b,1,8,C,3,0.3333333333333333,0,1,1,1,,kg,consistent,2.0,"The knowledge graph suggests Drug-7 targets a pathway related to neurodegeneration, but the relevance to chorea is less clear.",0.5,1.875
0,ILD-associated pulmonary hypertension,none,no_kg,llama3.3:70b,0,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-2 lacks clear evidence or known mechanisms that would make it a strong candidate for treating ILD-associated pulmonary hypertension.,0.0,2.25
0,ILD-associated pulmonary hypertension,none,no_kg,llama3.3:70b,1,8,B,2,0.5,0,1,1,1,,both,consistent,4.0,"Drug-2 shows promise through its impact on endothelin receptors, which is relevant to pulmonary hypertension management and supported by some knowledge-graph evidence.",0.5,3.0
0,Acquired hypofibrinogenemia in cardiovascular surgery,none,no_kg,llama3.3:70b,0,8,E,2,0.5,0,1,1,1,,kg,consistent,3.0,"Knowledge graph evidence suggests Drug-7 affects platelet aggregation, which could influence fibrinogen levels indirectly.",0.5,1.875
0,Acquired hypofibrinogenemia in cardiovascular surgery,none,no_kg,llama3.3:70b,1,8,C,5,0.2,0,0,1,1,,prior,insufficient,2.0,"Drug-7's potential effect on coagulation is unclear without specific evidence, making its ranking speculative.",0.25,2.125
0,COPD,none,no_kg,llama3.3:70b,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,"Similar to others with insufficient evidence, Drug-8's potential in treating COPD remains speculative without further information.",0.25,1.875
0,COPD,none,no_kg,llama3.3:70b,1,8,C,6,0.16666666666666666,0,0,0,1,,kg,conflicting,1.0,Drug-8's potential is compromised by conflicting evidence in the knowledge graph regarding its effect on COPD-related pathways.,0.375,2.0
0,COVID-19 in severe renal impairment/dialysis,none,no_kg,llama3.3:70b,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,"There is no available evidence or prior knowledge suggesting Drug-8 would be effective in treating COVID-19, especially in patients with severe renal impairment.",0.5,2.5
0,COVID-19 in severe renal impairment/dialysis,none,no_kg,llama3.3:70b,1,8,B,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-8 has reported associations with anti-inflammatory pathways that could be beneficial in treating COVID-19.,0.5,1.875
0,Obstructive sleep apnea with obesity,none,no_kg,llama3.3:70b,0,8,F,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,"Without direct evidence from the knowledge graph or clear prior knowledge linking Drug-8 to obstructive sleep apnea with obesity, its potential is considered low.",0.5,1.875
0,Obstructive sleep apnea with obesity,none,no_kg,llama3.3:70b,1,8,D,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,"Without direct evidence from the knowledge graph or known pharmacological effects related to sleep apnea or obesity, Drug-8's potential is uncertain.",0.5,1.875
0,Nephrotic syndrome,none,no_kg,llama3.3:70b,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,"Lacking both specific evidence from the knowledge graph and strong prior pharmacological reasoning, Drug-1's potential in treating Nephrotic syndrome is the most uncertain.",0.5,2.375
0,Nephrotic syndrome,none,no_kg,llama3.3:70b,1,8,A,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,Drug-1 (A) has some theoretical potential based on prior pharmacological knowledge but lacks sufficient evidence from the knowledge graph to elevate its ranking.,0.625,1.875
0,Pediatric glioma (EMA),none,no_kg,llama3.3:70b,0,8,D,3,0.3333333333333333,0,1,1,1,,kg,consistent,4.0,"The knowledge graph indicates Drug-5 targets a pathway relevant to glioma progression, supporting its plausibility for this indication.",0.5,2.5
0,Pediatric glioma (EMA),none,no_kg,llama3.3:70b,1,8,F,2,0.5,0,1,1,1,,prior,insufficient,3.0,"Although there's no provided evidence for Drug-5, prior knowledge suggests that drugs with similar mechanisms could potentially target glioma-related pathways.",0.375,1.875
0,Retinopathy of prematurity,none,no_kg,llama3.3:70b,0,8,C,6,0.16666666666666666,0,0,0,1,,kg,conflicting,1.0,"Drug-7 has conflicting evidence regarding its relevance to Retinopathy of Prematurity, leading to a low confidence ranking.",0.375,2.375
0,Retinopathy of prematurity,none,no_kg,llama3.3:70b,1,8,A,5,0.2,0,0,1,1,,prior,insufficient,1.0,Drug-7's potential for treating retinopathy of prematurity is uncertain and ranked fifth due to lack of clear mechanistic links.,0.0,1.75
0,Agitation associated with Alzheimer's dementia,none,no_kg,llama3.3:70b,0,8,E,2,0.5,0,1,1,1,,both,consistent,4.0,Drug-7's known effects on serotonin and dopamine pathways suggest potential for alleviating agitation in Alzheimer's dementia.,0.625,2.0
0,Agitation associated with Alzheimer's dementia,none,no_kg,llama3.3:70b,1,8,A,3,0.3333333333333333,0,1,1,1,,kg,consistent,3.0,"The knowledge graph indicates Drug-7 targets a pathway implicated in Alzheimer's dementia, but prior knowledge suggests its primary use is outside this area, making its application less straightforward.",0.5,2.25
0,Heterozygous familial hypercholesterolemia,none,no_kg,llama3.3:70b,0,8,C,5,0.2,0,0,1,1,,prior,insufficient,2.0,"Drug-7 has some effects on cardiovascular health, but its direct impact on heterozygous familial hypercholesterolemia is uncertain.",0.5,2.375
0,Heterozygous familial hypercholesterolemia,none,no_kg,llama3.3:70b,1,8,A,4,0.25,0,0,1,1,,kg,conflicting,2.0,"The knowledge graph suggests Drug-7 may interact with a relevant target, but the evidence is conflicting and its relevance to familial hypercholesterolemia is unclear.",0.5,2.375
