seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
2,Chorea associated with Huntington's disease,none,no_kg,llama3.1:405b,0,8,E,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
2,Chorea associated with Huntington's disease,none,no_kg,llama3.1:405b,1,8,B,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
2,Chronic thromboembolic pulmonary hypertension,none,no_kg,llama3.1:405b,0,8,C,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
2,Chronic thromboembolic pulmonary hypertension,none,no_kg,llama3.1:405b,1,8,C,9,0.1111111111111111,0,0,0,0,500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,,,,,,
2,Indolent systemic mastocytosis,none,no_kg,llama3.1:405b,0,8,C,4,0.25,0,0,1,1,,kg,conflicting,2.0,Drug-8's mechanistic links to mastocytosis are unclear due to conflicting evidence in the knowledge graph and pharmacological knowledge.,0.5,2.0
2,Indolent systemic mastocytosis,none,no_kg,llama3.1:405b,1,8,E,4,0.25,0,0,1,1,,kg,consistent,3.0,"The knowledge graph associates Drug-8 with the JAK/STAT pathway, which plays a role in mast cell signaling and cytokine production.",0.625,2.5
2,EGPA (expanded),none,no_kg,llama3.1:405b,0,8,D,4,0.25,0,0,1,1,,both,conflicting,3.0,"Drug-8's pathway involvement is suggested by the graph but contradicts some established pharmacological principles, making its potential efficacy less clear.",0.625,2.25
2,EGPA (expanded),none,no_kg,llama3.1:405b,1,8,D,7,0.14285714285714285,0,0,0,1,,kg,conflicting,1.0,"The knowledge graph indicates a mechanistic link, but pharmacological knowledge strongly suggests that Drug-8 is unlikely to be effective for EGPA.",0.5,2.375
2,Invasive fungal infections pediatric ≥2yr,none,no_kg,llama3.1:405b,0,8,A,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-4 shows strong antifungal activity against common invasive fungal pathogens, supported by both knowledge graph associations and prior pharmacological understanding.",0.625,2.25
2,Invasive fungal infections pediatric ≥2yr,none,no_kg,llama3.1:405b,1,8,D,4,0.25,0,0,1,1,,prior,insufficient,2.0,"Although the knowledge graph lacks evidence for Drug-4, its known antifungal activity in other contexts suggests potential efficacy.",0.625,2.375
2,PKU expanded to ≥12yr,none,no_kg,llama3.1:405b,0,8,C,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,"Despite lacking direct evidence from the knowledge graph, Drug-8's known mechanism of action on related metabolic pathways suggests potential applicability.",0.625,2.25
2,PKU expanded to ≥12yr,none,no_kg,llama3.1:405b,1,8,D,4,0.25,0,0,1,1,,prior,insufficient,2.0,"No evidence is provided for Drug-8, but its pharmacological profile suggests some potential for PKU relevance.",0.25,2.125
2,Nephrotic syndrome,none,no_kg,llama3.1:405b,0,8,A,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-1 has been shown to target a protein involved in the renin-angiotensin system, which is implicated in Nephrotic syndrome.",0.5,2.375
2,Nephrotic syndrome,none,no_kg,llama3.1:405b,1,8,B,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-1 has been shown to target a protein involved in the regulation of podocyte function, which is disrupted in nephrotic syndrome.",0.375,1.875
