seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
0,Chorea associated with Huntington's disease,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-7 does not demonstrate a clear mechanistic rationale for targeting chorea symptoms in HD.,0.25,2.625
0,Chorea associated with Huntington's disease,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,C,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-7 lacks a specific mechanism targeting the dopaminergic pathways typically involved in chorea management.,0.0,2.0
0,ILD-associated pulmonary hypertension,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,F,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
0,ILD-associated pulmonary hypertension,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,A,3,0.3333333333333333,0,1,1,1,,prior,insufficient,3.0,Drug-2 has potential anti-fibrotic properties that could theoretically mitigate the progression of the underlying ILD.,0.0,2.25
0,Acquired hypofibrinogenemia in cardiovascular surgery,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,D,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-7 is ranked fourth as a candidate with unknown pharmacodynamic interaction with fibrinogen pathways.,0.0,2.0
0,Acquired hypofibrinogenemia in cardiovascular surgery,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,C,9,0.1111111111111111,0,0,0,1,,,,,,0.0,3.0
0,COPD,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,D,6,0.16666666666666666,0,0,0,1,,prior,insufficient,2.0,Drug-8 shows limited interaction with known COPD-related biological targets.,0.0,2.0
0,COPD,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,C,4,0.25,0,0,1,1,,both,consistent,2.0,"Moderate evidence of pathway modulation, though clinical relevance for COPD remains speculative.",0.5,2.25
0,COVID-19 in severe renal impairment/dialysis,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is primarily renally cleared and likely to cause toxicity in patients with severe renal impairment.,0.0,2.25
0,COVID-19 in severe renal impairment/dialysis,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,A,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-8 lacks sufficient clinical data in the setting of severe renal impairment to confirm a high safety profile.,0.0,2.25
0,Obstructive sleep apnea with obesity,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,C,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
0,Obstructive sleep apnea with obesity,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,H,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,Drug-8 may possess anti-inflammatory properties that could theoretically mitigate the systemic inflammation associated with severe obesity and OSA.,0.0,1.875
0,Nephrotic syndrome,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,H,9,0.1111111111111111,0,0,0,1,,,,,,1.0,4.0
0,Nephrotic syndrome,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,F,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
0,Pediatric glioma (EMA),none,no_kg,gemini:gemini-3.1-flash-lite,0,8,B,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-5 has general anti-proliferative properties but limited specific evidence for efficacy in pediatric glial tumors.,0.25,2.375
0,Pediatric glioma (EMA),none,no_kg,gemini:gemini-3.1-flash-lite,1,8,D,1,1.0,1,1,1,1,,both,consistent,4.0,Strong evidence for kinase inhibition aligns with standard therapeutic approaches for pediatric low-grade gliomas.,1.0,4.0
0,Retinopathy of prematurity,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,B,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-7 is primarily indicated for non-ocular conditions and lacks a plausible mechanistic link to ROP pathophysiology.,0.0,2.25
0,Retinopathy of prematurity,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,A,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-7 is a broad-spectrum agent with no specific evidence linking it to the unique physiological requirements of the premature retina.,0.375,2.25
0,Agitation associated with Alzheimer's dementia,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,E,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-7 lacks evidence of efficacy and may pose risks in elderly populations.,0.125,2.25
0,Agitation associated with Alzheimer's dementia,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,F,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-7 lacks sufficient data to support its efficacy or safety in the context of Alzheimer's-related agitation.,0.0,2.25
0,Heterozygous familial hypercholesterolemia,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,B,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-7 is primarily indicated for unrelated conditions with no clear mechanism for LDL receptor regulation.,0.375,2.625
