seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
1,TRD monotherapy,none,no_kg,gpt-4.1-mini,0,8,E,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
1,TRD monotherapy,none,no_kg,gpt-4.1-mini,1,8,D,2,0.5,0,1,1,1,,both,consistent,4.0,Drug-7 shows KG pathways relevant to TRD and prior knowledge supports its pharmacology in depression treatment.,0.75,3.0
1,ILD-associated pulmonary hypertension,none,no_kg,gpt-4.1-mini,0,8,D,1,1.0,1,1,1,1,,both,consistent,5.0,"KG links Drug-6 to targets modulating pulmonary vascular remodeling pathways directly implicated in ILD-associated PH, supported by known pharmacology.",1.0,5.0
1,ILD-associated pulmonary hypertension,none,no_kg,gpt-4.1-mini,1,8,B,1,1.0,1,1,1,1,,both,consistent,5.0,"Drug-1 targets pathways implicated in pulmonary vascular remodeling and fibrosis, with KG evidence supporting these links and prior knowledge of its pharmacology relevant to ILD-associated pulmonary hypertension.",0.875,2.625
1,Indolent systemic mastocytosis (EMA),none,no_kg,gpt-4.1-mini,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,"Drug-8 lacks KG evidence and known mechanisms relevant to mastocytosis, making its plausibility minimal.",0.375,2.625
1,Indolent systemic mastocytosis (EMA),none,no_kg,gpt-4.1-mini,1,8,C,8,0.125,0,0,0,1,,kg,conflicting,1.0,"Drug-8 KG associations suggest mechanism incompatible with ISM pathology, with no supporting prior evidence, making it least plausible.",0.625,2.75
1,Hidradenitis suppurativa,none,no_kg,gpt-4.1-mini,0,8,B,5,0.2,0,0,1,1,,prior,insufficient,3.0,Lacking KG support; prior knowledge indicates limited or indirect relevance to HS mechanisms.,0.375,3.0
1,Hidradenitis suppurativa,none,no_kg,gpt-4.1-mini,1,8,F,7,0.14285714285714285,0,0,0,1,,prior,insufficient,2.0,Drug-7 has no KG evidence and its pharmacology does not clearly target HS-related mechanisms.,0.5,2.875
1,Chronic hepatitis B (pediatric),none,no_kg,gpt-4.1-mini,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-6 shows neither KG links nor known mechanisms relevant to hepatitis B treatment.,0.375,2.625
1,Chronic hepatitis B (pediatric),none,no_kg,gpt-4.1-mini,1,8,B,6,0.16666666666666666,0,0,0,1,,prior,insufficient,2.0,Drug-6 lacks KG evidence and prior pharmacology does not strongly support use in chronic hepatitis B.,0.5,2.625
