seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
0,Chorea associated with Huntington's disease,none,no_kg,gpt-4.1-mini,0,8,H,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
0,Chorea associated with Huntington's disease,none,no_kg,gpt-4.1-mini,1,8,C,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
0,ILD-associated pulmonary hypertension,none,no_kg,gpt-4.1-mini,0,8,A,8,0.125,0,0,0,1,,prior,insufficient,1.0,"No KG evidence and pharmacological profile of Drug-2 is unrelated to pulmonary hypertension or fibrosis, making its repurposing unlikely.",0.625,2.75
0,ILD-associated pulmonary hypertension,none,no_kg,gpt-4.1-mini,1,8,G,3,0.3333333333333333,0,1,1,1,,both,insufficient,3.0,"Drug-2 has limited KG links but some prior pharmacological rationale for use in vascular inflammation, making it moderately plausible.",0.5,2.625
0,Acquired hypofibrinogenemia in cardiovascular surgery,none,no_kg,gpt-4.1-mini,0,8,H,8,0.125,0,0,0,1,,kg,insufficient,1.0,Drug-7 shows no KG links or known mechanism relevant to acquired hypofibrinogenemia.,0.75,2.625
0,Acquired hypofibrinogenemia in cardiovascular surgery,none,no_kg,gpt-4.1-mini,1,8,F,6,0.16666666666666666,0,0,0,1,,prior,insufficient,2.0,Drug-7 lacks KG evidence and known mechanisms do not strongly suggest benefit for fibrinogen deficiency.,0.625,2.875
0,COPD,none,no_kg,gpt-4.1-mini,0,8,C,8,0.125,0,0,0,1,,kg,insufficient,1.0,No meaningful KG or pharmacological evidence supporting Drug-8’s relevance to COPD.,0.75,2.5
0,COPD,none,no_kg,gpt-4.1-mini,1,8,E,6,0.16666666666666666,0,0,0,1,,kg,conflicting,2.0,"Drug-8 shows KG links to pathways not typically implicated or potentially detrimental in COPD, conflicting with expected pharmacology.",0.75,2.625
0,COVID-19 in severe renal impairment/dialysis,none,no_kg,gpt-4.1-mini,0,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Neither KG nor prior knowledge suggest relevance to target disease mechanisms.,0.375,2.625
0,COVID-19 in severe renal impairment/dialysis,none,no_kg,gpt-4.1-mini,1,8,D,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 has no KG evidence and no clear pharmacological rationale for use in COVID-19 patients with severe renal impairment.,0.5,2.625
