seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
1,TRD monotherapy,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,D,1,1.0,1,1,1,1,,both,consistent,4.0,Strong alignment between KG evidence and pharmacological knowledge regarding its role in modulating synaptic plasticity and monoamine receptor sensitivity relevant to TRD.,1.0,4.0
1,TRD monotherapy,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,F,9,0.1111111111111111,0,0,0,1,,,,,,1.0,4.0
1,ILD-associated pulmonary hypertension,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,D,1,1.0,1,1,1,1,,both,consistent,4.0,Strong mechanistic link to pulmonary vasodilation and potential to reduce right ventricular afterload in PH.,1.0,4.0
1,ILD-associated pulmonary hypertension,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,A,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-1 lacks specific clinical data for pulmonary hypertension but may have off-target effects on vascular remodeling.,0.125,2.0
1,Indolent systemic mastocytosis (EMA),none,no_kg,gemini:gemini-3.1-flash-lite,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is unrelated to the pathophysiology of indolent systemic mastocytosis and carries no therapeutic potential in this context.,0.0,2.125
1,Indolent systemic mastocytosis (EMA),none,no_kg,gemini:gemini-3.1-flash-lite,1,8,D,8,0.125,0,0,0,1,,prior,insufficient,1.0,No identifiable pharmacological basis to support its application in the treatment of indolent systemic mastocytosis.,0.0,1.875
1,Hidradenitis suppurativa,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,H,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Drug-7 shows limited pharmacological relevance to the pathways typically involved in this condition.,0.0,1.875
1,Hidradenitis suppurativa,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,A,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
1,Chronic hepatitis B (pediatric),none,no_kg,gemini:gemini-3.1-flash-lite,0,8,F,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
1,Chronic hepatitis B (pediatric),none,no_kg,gemini:gemini-3.1-flash-lite,1,8,F,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-6 has potential antiviral properties but carries a higher risk of systemic side effects unsuitable for pediatric use.,0.0,2.25
1,HoFH pediatric (EMA),none,no_kg,gemini:gemini-3.1-flash-lite,0,8,B,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
1,HoFH pediatric (EMA),none,no_kg,gemini:gemini-3.1-flash-lite,1,8,G,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is unrelated to the pathophysiology of pediatric HoFH.,0.0,1.875
1,Nephrotic syndrome,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,C,9,0.1111111111111111,0,0,0,1,,,,,,1.0,4.0
1,Nephrotic syndrome,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,D,1,1.0,1,1,1,1,,both,consistent,5.0,"Drug-1 acts on the RAAS pathway, which is the gold standard for reducing intraglomerular pressure and proteinuria in nephrotic syndrome.",0.25,2.5
1,Follicular lymphoma,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,G,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 has no significant pharmacological evidence supporting its use in follicular lymphoma.,0.25,2.75
1,Follicular lymphoma,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,E,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is unlikely to be effective given the current understanding of follicular lymphoma molecular drivers.,0.375,2.25
1,Retinal vein occlusion,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is likely contraindicated or irrelevant given its primary therapeutic profile in unrelated systemic conditions.,0.375,2.25
1,Retinal vein occlusion,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is unrelated to the primary mechanisms required to treat retinal vein occlusion.,0.25,2.75
1,Agitation associated with Alzheimer's dementia,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,D,1,1.0,1,1,1,1,,both,consistent,4.0,Drug-2 acts on established neurochemical pathways often targeted to manage agitation and disruptive behavior in dementia patients.,1.0,4.0
1,Agitation associated with Alzheimer's dementia,none,no_kg,gemini:gemini-3.1-flash-lite,1,8,D,1,1.0,1,1,1,1,,both,consistent,4.0,Mechanism aligns with well-characterized antipsychotic pathways relevant to managing agitation in dementia.,1.0,4.0
1,High LDL-C with increased CV risk (expanded),none,no_kg,gemini:gemini-3.1-flash-lite,0,8,C,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is not indicated for lipid-lowering and lacks biological plausibility for the target disease.,0.375,2.875
1,High LDL-C with increased CV risk (expanded),none,no_kg,gemini:gemini-3.1-flash-lite,1,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-8 is unrelated to the pathophysiology of hypercholesterolemia.,0.0,2.25
1,Indolent systemic mastocytosis,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,H,9,0.1111111111111111,0,0,0,1,,,,,,1.0,5.0
