seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
0,Chorea associated with Huntington's disease,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,A,2,0.5,0,1,1,1,,both,consistent,4.0,Drug-6 shows mechanistic potential in modulating striatal pathways relevant to hyperkinetic motor symptoms.,0.25,2.125
0,Chorea associated with Huntington's disease,primekg,kg,gemini:gemini-3.1-flash-lite,0,8,C,9,0.1111111111111111,0,0,0,1,,,,,,0.0,2.0
0,Chorea associated with Huntington's disease,drkg,kg,gemini:gemini-3.1-flash-lite,0,8,D,1,1.0,1,1,1,1,,both,consistent,5.0,"Drug-6 inhibits SLC18A2 (VMAT2), which is the standard pharmacological mechanism for reducing chorea in Huntington's disease.",1.0,1.5
0,Chorea associated with Huntington's disease,biokg,kg,gemini:gemini-3.1-flash-lite,0,8,H,8,0.125,0,0,0,1,,both,consistent,1.0,Drug-6 primarily acts as a metabolic modifier via CYP enzymes and lacks a direct neuro-active mechanism for chorea.,0.875,1.25
1,Agitation associated with Alzheimer's dementia,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,C,1,1.0,1,1,1,1,,,,,,,
1,Agitation associated with Alzheimer's dementia,primekg,kg,gemini:gemini-3.1-flash-lite,0,8,C,1,1.0,1,1,1,1,,both,consistent,3.0,Drug-1 targets ionotropic receptors like CHRNA2 and GRIN3A that are relevant to neurotransmission in Alzheimer's disease.,1.0,1.625
1,Agitation associated with Alzheimer's dementia,drkg,kg,gemini:gemini-3.1-flash-lite,0,8,C,2,0.5,0,1,1,1,,prior,insufficient,2.0,"CDKN1B (p27) modulation is involved in cell cycle regulation and neuronal health, which could theoretically influence neurodegeneration-related agitation.",0.0,1.75
1,Agitation associated with Alzheimer's dementia,biokg,kg,gemini:gemini-3.1-flash-lite,0,8,E,1,1.0,1,1,1,1,,both,consistent,4.0,"Drug-1 targets NMDA receptors, a pathway frequently implicated in the management of behavioral and psychological symptoms of dementia.",1.0,1.625
2,Chorea associated with Huntington's disease,none,no_kg,gemini:gemini-3.1-flash-lite,0,8,F,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-5 lacks strong clinical evidence for chorea but may modulate relevant neurotransmitter pathways.,0.25,2.375
2,Chorea associated with Huntington's disease,primekg,kg,gemini:gemini-3.1-flash-lite,0,8,G,4,0.25,0,0,1,1,,both,consistent,1.0,CYP enzymes are primarily involved in pharmacokinetics rather than disease-modifying pathways for Huntington's disease.,1.0,1.125
2,Chorea associated with Huntington's disease,drkg,kg,gemini:gemini-3.1-flash-lite,0,8,C,1,1.0,1,1,1,1,,both,consistent,5.0,"Drug-5 targets SLC18A2 (VMAT2), which is the primary pharmacological target for managing chorea in Huntington's disease.",0.75,1.5
2,Chorea associated with Huntington's disease,biokg,kg,gemini:gemini-3.1-flash-lite,0,8,C,1,1.0,1,1,1,1,,prior,insufficient,2.0,CYP450 inhibitors like those in Drug-5 may alter the pharmacokinetics of common Huntington's medications like tetrabenazine.,0.0,1.25
