seed,disease,kg,condition,model,shuffle,pool_size,positive_letter,rank,reciprocal_rank,hit@1,hit@3,hit@5,parsed,error,pos_basis,pos_agreement,pos_confidence,pos_rationale,frac_basis_kg,mean_confidence
2,Chorea associated with Huntington's disease,none,no_kg,llama3.3:70b,0,8,C,6,0.16666666666666666,0,0,0,1,,kg,insufficient,2.0,Drug-8's potential is uncertain due to sparse evidence from the knowledge graph and limited prior knowledge of its application in Huntington's disease.,0.5,2.5
2,Chorea associated with Huntington's disease,none,no_kg,llama3.3:70b,1,8,H,9,0.1111111111111111,0,0,0,1,,,,,,1.0,4.0
2,Chronic thromboembolic pulmonary hypertension,none,no_kg,llama3.3:70b,0,8,G,4,0.25,0,0,1,1,,both,conflicting,2.0,"Drug-7 presents a mixed picture due to conflicting evidence between its known effects on coagulation pathways and the sparse, potentially contradictory associations in the knowledge graph.",0.625,1.875
2,Chronic thromboembolic pulmonary hypertension,none,no_kg,llama3.3:70b,1,8,B,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Prior pharmacological knowledge does not strongly support Drug-7 for treating Chronic thromboembolic pulmonary hypertension due to lack of direct evidence.,0.5,1.875
2,Indolent systemic mastocytosis,none,no_kg,llama3.3:70b,0,8,C,4,0.25,0,0,1,1,,prior,insufficient,2.0,"Without specific evidence, Drug-8's potential is speculative but it could interfere with mast cell function based on its chemical structure.",0.625,2.375
2,Indolent systemic mastocytosis,none,no_kg,llama3.3:70b,1,8,E,4,0.25,0,0,1,1,,prior,insufficient,2.0,"Drug-8 might have off-target effects beneficial for mastocytosis, but without direct evidence, its potential is speculative.",0.5,2.375
2,EGPA (expanded),none,no_kg,llama3.3:70b,0,8,D,2,0.5,0,1,1,1,,both,consistent,4.0,"Drug-8 has a reported mechanistic link to EGPA through its target and pathway associations in the knowledge graph, supported by general pharmacological principles.",0.25,2.0
2,EGPA (expanded),none,no_kg,llama3.3:70b,1,8,C,7,0.14285714285714285,0,0,0,1,,kg,conflicting,1.0,"Drug-8 has some evidence from the knowledge graph but it is conflicted and does not strongly support its use for EGPA, lacking clear mechanistic links.",0.5,1.875
2,Invasive fungal infections pediatric ≥2yr,none,no_kg,llama3.3:70b,0,8,C,5,0.2,0,0,1,1,,prior,insufficient,2.0,"Without specific evidence, Drug-4's potential is uncertain, but its class may have some antifungal properties.",0.5,2.75
2,Invasive fungal infections pediatric ≥2yr,none,no_kg,llama3.3:70b,1,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,"Drug-4 has no clear association with antifungal properties or mechanisms from either the knowledge graph or prior pharmacological knowledge, making its potential for treating invasive fungal infections low.",0.5,2.375
2,PKU expanded to ≥12yr,none,no_kg,llama3.3:70b,0,8,D,5,0.2,0,0,1,1,,prior,insufficient,2.0,Drug-8's potential as a therapeutic agent in metabolic disorders is unclear due to lack of information linking it directly to PKU pathways or mechanisms.,0.0,1.875
2,PKU expanded to ≥12yr,none,no_kg,llama3.3:70b,1,8,E,5,0.2,0,0,1,1,,prior,insufficient,1.0,Drug-8's potential effect on PKU is highly speculative due to the absence of any relevant information.,0.0,1.5
2,Nephrotic syndrome,none,no_kg,llama3.3:70b,0,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-1 (H) has no evident link to the treatment of Nephrotic syndrome through either knowledge graph evidence or pharmacological properties.,0.25,1.875
2,Nephrotic syndrome,none,no_kg,llama3.3:70b,1,8,D,1,1.0,1,1,1,1,,both,consistent,5.0,Drug-1 has strong mechanistic links to pathways involved in Nephrotic syndrome through the knowledge graph and aligns with prior pharmacological understanding of disease pathology.,0.5,2.375
2,HR+/HER2- node-positive high-risk early breast cancer,none,no_kg,llama3.3:70b,0,8,B,3,0.3333333333333333,0,1,1,1,,kg,consistent,4.0,Drug-7 has been associated with modulation of a pathway relevant to HER2- breast cancer in the knowledge graph.,0.375,3.0
2,HR+/HER2- node-positive high-risk early breast cancer,none,no_kg,llama3.3:70b,1,8,A,2,0.5,0,1,1,1,,kg,consistent,3.0,"Drug-7 is associated with cell cycle regulation pathways, potentially beneficial in high-risk early breast cancer.",0.25,1.875
2,Retinopathy of prematurity,none,no_kg,llama3.3:70b,0,8,H,8,0.125,0,0,0,1,,prior,conflicting,1.0,"Drug-7 has conflicting information regarding its potential effects on relevant pathways, making it the least likely candidate.",0.25,2.125
2,Retinopathy of prematurity,none,no_kg,llama3.3:70b,1,8,F,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,"No information is available for Drug-7, making it difficult to determine its potential for treating Retinopathy of prematurity.",0.5,1.875
2,Agitation associated with Alzheimer's dementia,none,no_kg,llama3.3:70b,0,8,B,4,0.25,0,0,1,1,,prior,insufficient,2.0,Drug-6 lacks direct evidence but could theoretically affect pathways related to mood and cognition based on its pharmacological class.,0.25,2.0
2,Agitation associated with Alzheimer's dementia,none,no_kg,llama3.3:70b,1,8,H,8,0.125,0,0,0,1,,prior,insufficient,1.0,Drug-6 has no clear links to the treatment of agitation in Alzheimer's dementia based on either the knowledge graph or prior pharmacological knowledge.,0.5,2.375
2,LDL-C elevation in statin-intolerant dyslipidemia,none,no_kg,llama3.3:70b,0,8,A,4,0.25,0,0,1,1,,kg,conflicting,2.0,"The knowledge graph suggests a link between Drug-8 and a pathway that could influence LDL-C levels, but this is not supported by prior knowledge.",0.5,2.5
2,LDL-C elevation in statin-intolerant dyslipidemia,none,no_kg,llama3.3:70b,1,8,H,3,0.3333333333333333,0,1,1,1,,kg,consistent,3.0,"Drug-8 has a reported link to a lipid metabolism pathway, but the specifics of its mechanism are unclear.",0.375,2.25
2,First-line anemia in lower-risk MDS,none,no_kg,llama3.3:70b,0,8,F,7,0.14285714285714285,0,0,0,1,,prior,insufficient,2.0,Drug-8 lacks direct evidence from the knowledge graph and prior knowledge does not strongly support its use in treating anemia.,0.5,3.0
2,First-line anemia in lower-risk MDS,none,no_kg,llama3.3:70b,1,8,E,4,0.25,0,0,1,1,,both,conflicting,2.0,"Drug-8 shows some promise through its effects on related pathways, but conflicting evidence regarding its efficacy in anemia treatment reduces confidence.",0.5,1.875
2,"Crohn's disease (moderate-severe, refractory)",none,no_kg,llama3.3:70b,0,8,A,2,0.5,0,1,1,1,,both,consistent,4.0,"Drug-7 has been linked to the IL-23 pathway, a key player in inflammatory bowel diseases like Crohn's.",0.375,2.25
2,"Crohn's disease (moderate-severe, refractory)",none,no_kg,llama3.3:70b,1,8,G,7,0.14285714285714285,0,0,0,1,,prior,insufficient,1.0,Insufficient evidence is available to evaluate Drug-7's potential mechanistic links to Crohn's disease pathways.,0.25,2.0
2,COVID-19 in severe renal impairment/dialysis,none,no_kg,llama3.3:70b,0,8,D,3,0.3333333333333333,0,1,1,1,,prior,insufficient,2.0,"Drug-8 is ranked third as it might have some antiviral effects, but its use in patients with severe renal impairment requires careful dose adjustment and monitoring.",0.0,1.875
2,COVID-19 in severe renal impairment/dialysis,none,no_kg,llama3.3:70b,1,8,F,6,0.16666666666666666,0,0,0,1,,kg,insufficient,1.0,Drug-8 has limited associations in the knowledge graph and lacks a clear mechanism that would suggest efficacy against COVID-19 in severe renal impairment.,0.5,1.875
2,MASH with fibrosis,none,no_kg,llama3.3:70b,0,8,B,5,0.2,0,0,1,1,,prior,insufficient,1.0,"Without specific evidence from the knowledge graph or strong prior knowledge indicating a clear mechanism against MASH with fibrosis, Drug-8's potential is uncertain.",0.5,1.875
